price,number_of_units,total_area,number_of_stories,lot_size,age
6000000,13,1.07,4,0.27,80
4950000,7,0.22,4,0.06,122
6990000,64,1.64,2,3.15,9
11000000,140,2.57,2,0,42
3800000,48,1.04,2,1.34,51
3495000,23,0.66,2,1.5,29
4199000,64,0.41,3,0.43,44
3990000,60,1.1,2,0.19,59
4350000,77,0.8,3,0.22,107
12000000,300,4.53,19,1.26,46
4200000,76,0.57,2,0,79
17500000,15,0.22,5,0.06,122
4800000,8,0.2,3,0.06,91
8850000,9,0.14,5,0.03,121
3950000,7,0.14,4,0.06,91
7000000,24,0.31,4,0.14,93
6195000,8,0.14,3,0.05,94
5900000,8,0.09,4,0.04,122
6900000,30,0.73,6,0.26,16
4150000,4,0.12,4,0.04,91
7800000,10,0.17,6,0.06,112
8495000,11,0.14,5,0.06,122
3575000,4,0.08,3,0.06,123
17000000,41,0.75,6,0.16,83
7500000,10,0.17,5,0.04,122
3395000,3,0.11,4,0.04,121
9300000,12,0.69,7,0.12,17
4499999,7,0.11,4,0.06,112
12500000,54,0.95,6,0.23,96
10500000,10,0.13,4,0.05,112
9250000,5,0.13,4,0.04,112
4845000,4,0.11,4,0.06,152
43000000,62,1.38,7,0.34,10
3299000,4,0.12,4,0.05,117
20000000,22,8.54,45,0.32,92
8795000,8,0.19,4,0.04,118
3795000,13,0.22,8,0.1,5
3400000,8,0.1,4,0.06,19
4300000,17,0.3,4,0.09,96
5600000,29,0.47,5,0.11,96
4750000,7,0.14,3,0.07,102
4950000,9,0.23,2,0.04,102
9900000,9,0.17,5,0.06,104
7900000,16,0.32,9,0.05,8
7499000,4,0.1,4,0.04,168
3475000,56,0.71,2,5.35,82
19975000,41,0.57,7,0.12,64
3400000,6,0.13,3,0.06,91
5800000,26,0.47,5,0.11,122
10499000,19,0.26,6,0.06,112
9750000,10,0.17,5,0.05,122
8900000,17,0.33,5,0.06,91
8250000,9,0.12,5,0.04,122
11500000,30,0.83,8,0.21,14
11100000,20,0.24,5,0.05,112
13100000,120,3.06,3,10,20
4500000,72,0.48,3,0,60
12000000,102,1.96,3,6.1,11
3350000,188,2.7,2,6.63,59
4250000,132,2.3,2,5.01,49
9700000,224,4.81,2,0,48
4505000,40,1.2,2,3.94,8
18500000,363,7.74,2,15.77,60
6650000,22,0.87,3,1.11,10
4000000,20,0.37,2,0.92,28
3150000,36,0.61,2,1.18,50
6425000,43,1.15,4,2.53,44
16500000,85,1.54,2,4.82,44
3900000,68,1.61,9,0.69,96
4100000,30,0.74,2,1.64,50
8700000,50,0.42,5,0.1,110
4400000,25,0.39,3,0.22,92
27500000,98,2.75,5,0.8,10
13250000,72,1.84,5,0.5,12
35000000,145,4.18,2,14.28,9
320000,6,0.14,3,0.09,122
699000,5,0.08,2,0.11,92
340000,6,0.11,3,0.08,122
1675000,6,0.19,3,0.18,122
319000,6,0.15,3,0.05,102
530000,12,0.22,3,0.09,122
3600000,7,0.19,2,0.28,41
11025000,141,3.52,2,10.56,12
3600000,78,1.24,1,6.66,26
24000000,63,2.72,3,5.64,6
4500000,557,12.06,2,29.15,49
13945000,166,3.93,2,9.03,8
770000,20,0.25,2,0.38,45
4500000,26,0.44,3,0.43,54
1420000,29,0.41,2,0.51,42
340000,4,0.07,2,0.24,13
889000,12,0.36,2,0.67,51
1125000,8,0.15,2,0.12,51
1700000,37,1.04,2,2.49,44
2750000,68,1.03,1,19.66,69
1200000,12,0.15,2,0.17,53
539000,14,0.18,2,0.25,38
295000,8,0.12,2,0.24,46
1200000,20,0.22,2,0.34,62
295000,8,0.12,2,0.22,46
2255000,46,0.63,2,0.96,36
2500000,24,0.45,2,4,21
343000,4,0.07,2,0.26,13
3985000,77,1.1,3,2.12,50
7000000,64,1.36,2,3.02,49
11000000,104,1.58,2,4.88,48
3950000,46,0.88,2,9,62
8750000,133,4.24,15,1.1,49
4300000,40,0.61,4,0.28,93
9000000,110,2.97,4,2,119
10500000,127,3.25,2,9.5,49
4000000,44,0.23,3,0.14,121
3950000,43,1.11,2,2.11,37
645000,6,0.13,2,2.87,14
